keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
SCHULZ NB, 2010, ENERG POLICY, V38, P4848, DOI 10.1016/J.ENPOL.2009.08.066	5.0	0.010470865190858495	0.0	2010	-1	-1	0	4.0	0	9
DALLIMER M, 2011, BIOL LETTERS, V7, P763, DOI 10.1098/RSBL.2011.0025	2.0	5.632068006315139E-4	0.0	2011	-1	-1	0	2.0	0	8
NEWMAN ME, 2010, NETWORKS INTRO, V0, P0	13.0	0.00289882918354497	0.0	2010	-1	-1	0	5.0	0	9
LAMMER S, 2008, J STAT MECH-THEORY E, V0, P0, DOI 10.1088/1742-5468/2008/04/P04019	2.0	0.0	0.0	2008	-1	-1	0	5.0	0	11
STELLA AL, 2010, J STAT MECH-THEORY E, V0, P0, DOI 10.1088/1742-5468/2010/02/P02018	2.0	0.0	0.0	2010	-1	-1	0	1.0	0	9
MARSHALL JD, 2007, URBAN STUD, V44, P1889, DOI 10.1080/00420980701471943	2.0	0.0025558188618414867	0.0	2007	-1	-1	0	4.0	0	12
GLAESER EL, 2010, J REGIONAL SCI, V50, P221, DOI 10.1111/J.1467-9787.2009.00635.X	2.0	0.001003271706064157	0.0	2010	-1	-1	0	2.0	0	9
ALVES LGA, 2015, EPL-EUROPHYS LETT, V111, P0, DOI 10.1209/0295-5075/111/18002	3.0	0.002452880563896274	0.0	2015	-1	-1	0	2.0	0	4
ALVES LGA, 2013, PLOS ONE, V8, P0, DOI 10.1371/JOURNAL.PONE.0069580	19.0	0.009091676987228351	0.0	2013	-1	-1	0	4.0	0	6
BATTY M, 2008, EUR PHYS J B, V63, P303, DOI 10.1140/EPJB/E2008-00251-5	10.0	0.05347041296682763	0.0	2008	-1	-1	0	6.0	0	11
HAUSMANN R, 2011, J ECON GROWTH, V16, P309, DOI 10.1007/S10887-011-9071-4	3.0	0.0	0.0	2011	-1	-1	0	6.0	0	8
LOBO J, 2008, J URBAN ECON, V63, P871, DOI 10.1016/J.JUE.2007.07.005	6.0	0.0	0.0	2008	-1	-1	0	7.0	0	11
ARTHUR BW, 2009, NATURE TECHNOLOGY WH, V0, P0	3.0	0.01005317986450062	0.0	2009	-1	-1	0	7.0	0	10
SETO KC, 2012, P NATL ACAD SCI USA, V109, P7687, DOI 10.1073/PNAS.1117622109	11.0	0.01784855062674606	0.0	2012	-1	-1	0	3.0	0	7
ROBERTS BH, 2004, J CLEAN PROD, V12, P997, DOI 10.1016/J.JCLEPRO.2004.02.037	2.0	3.496758309266568E-5	0.0	2004	-1	-1	0	7.0	0	15
PARSHALL L, 2010, ENERG POLICY, V38, P4765, DOI 10.1016/J.ENPOL.2009.07.006	5.0	0.010470865190858495	0.0	2010	-1	-1	0	4.0	0	9
JIANG B, 2010, GEOSPATIAL ANAL MODE, V0, P0	3.0	0.008491549691751327	0.0	2010	-1	-1	0	2.0	0	9
SCHNEIDER CM, 2013, J R SOC INTERFACE, V10, P0, DOI 10.1098/RSIF.2013.0246	3.0	1.4326292876249984E-4	0.0	2013	-1	-1	0	2.0	0	6
PICKETT STA, 2011, J ENVIRON MANAGE, V92, P331, DOI 10.1016/J.JENVMAN.2010.08.022	3.0	1.699813006093916E-5	0.0	2011	-1	-1	0	3.0	0	8
WIEDENHOFER D, 2013, ENERG POLICY, V63, P696, DOI 10.1016/J.ENPOL.2013.07.035	3.0	1.3268736450333635E-4	0.0	2013	-1	-1	0	3.0	0	6
LILJEROS F, 2003, MICROBES INFECT, V5, P189, DOI 10.1016/S1286-4579(02)00058-8	2.0	0.0	0.0	2003	-1	-1	0	7.0	0	16
CHEN YG, 2010, DISCRETE DYN NAT SOC, V0, P0, DOI 10.1155/2010/194715	10.0	0.03631697781766643	0.0	2010	-1	-1	0	4.0	0	9
SONG CM, 2010, NAT PHYS, V6, P818, DOI 10.1038/NPHYS1760	9.0	0.0062824098934868115	0.0	2010	-1	-1	0	5.0	0	9
KANDER A, 2014, POWER PEOPLE ENERGY, V0, P0	3.0	0.009100308385360455	0.0	2014	-1	-1	0	2.0	0	5
WEST GB, 2017, SCALE UNIVERSAL LAWS, V0, P0	7.0	0.002465829508107853	0.0	2017	-1	-1	0	1.0	0	2
FROLKING S, 2013, ENVIRON RES LETT, V8, P0, DOI 10.1088/1748-9326/8/2/024004	4.0	0.0	0.0	2013	-1	-1	0	2.0	0	6
LAMSAL LN, 2013, ENVIRON SCI TECHNOL, V47, P7855, DOI 10.1021/ES400744G	3.0	0.0	0.0	2013	-1	-1	0	3.0	0	6
ROZENFELD HD, 2011, AM ECON REV, V101, P560	2.0	0.0	0.0	2011	-1	-1	0	1.0	0	8
ORTMAN SG, 2015, SCI ADV, V1, P0, DOI 10.1126/SCIADV.1400066	7.0	0.023803577531128307	0.0	2015	-1	-1	0	3.0	0	4
LARSEN HN, 2009, ENVIRON SCI POLICY, V12, P791, DOI 10.1016/J.ENVSCI.2009.07.010	2.0	0.0	0.0	2009	-1	-1	0	3.0	0	10
SHANAHAN DF, 2011, BIOL CONSERV, V144, P722, DOI 10.1016/J.BIOCON.2010.10.014	2.0	0.0	0.0	2011	-1	-1	0	2.0	0	8
KNOX PL, 2006, PLACES REGIONS GLOBA, V0, P0	2.0	0.0	0.0	2006	-1	-1	0	6.0	0	13
GORDON MB, 2010, EUR J APPL MATH, V21, P283, DOI 10.1017/S0956792510000069	2.0	0.010605861406051175	0.0	2010	-1	-1	0	3.0	0	9
DE GROOT R, 2010, ECOL COMPLEX, V7, P260, DOI 10.1016/J.ECOCOM.2009.10.006	3.0	6.0107526046784955E-5	0.0	2010	-1	-1	0	5.0	0	9
SEDGLEY N, 2011, AM J ECON SOCIOL, V70, P86, DOI 10.1111/J.1536-7150.2010.00764.X	2.0	0.001096256801451061	0.0	2011	-1	-1	0	2.0	0	8
WU F, 2007, P NATL ACAD SCI USA, V104, P17599, DOI 10.1073/PNAS.0704916104	3.0	3.3284577167832233E-4	0.0	2007	-1	-1	0	7.0	0	12
KENNEDY C, 2010, ENERG POLICY, V38, P4828, DOI 10.1016/J.ENPOL.2009.08.050	3.0	1.2238654104143723E-4	0.0	2010	-1	-1	0	2.0	0	9
PODOBNIK B, 2010, P NATL ACAD SCI USA, V107, P18325, DOI 10.1073/PNAS.1011942107	3.0	0.0	0.0	2010	-1	-1	0	2.0	0	9
BARTHELEMY M, 2011, PHYS REP, V499, P1, DOI 10.1016/J.PHYSREP.2010.11.002	30.0	0.08235900865289279	0.0	2011	-1	-1	0	4.0	0	8
PHALAN B, 2011, SCIENCE, V333, P1289, DOI 10.1126/SCIENCE.1208742	2.0	0.0	0.0	2011	-1	-1	0	2.0	0	8
KATES RW, 2003, P NATL ACAD SCI USA, V100, P8062, DOI 10.1073/PNAS.1231331100	2.0	0.009224764450080815	0.0	2003	-1	-1	0	5.0	0	16
EXPERT P, 2011, P NATL ACAD SCI USA, V108, P7663, DOI 10.1073/PNAS.1018962108	7.0	0.004171082557849963	0.0	2011	-1	-1	0	4.0	0	8
SAMANIEGO H, 2008, J TRANSPORT LAND USE, V1, P0	2.0	0.001003271706064157	0.0	2008	-1	-1	0	4.0	0	11
BETTENCOURT LM, 2013, ARXIV13015919, V0, P0	3.0	0.0017186333343181483	0.0	2013	-1	-1	0	5.0	0	6
FLORIDA R, 2004, CITIES CREATIVE CLAS, V0, P0	2.0	0.0	0.0	2004	-1	-1	0	4.0	0	15
SCHULZ NB, 2007, J IND ECOL, V11, P117, DOI 10.1162/JIE.2007.1200	2.0	0.0	0.0	2007	-1	-1	0	5.0	0	12
CLAUSET A, 2009, SIAM REV, V51, P661, DOI 10.1137/070710111	39.0	0.054190518160089345	0.0	2009	-1	-1	0	6.0	0	10
MOHAJERI N, 2015, TRANSPORT RES D-TR E, V35, P116, DOI 10.1016/J.TRD.2014.11.025	4.0	0.0023040310260490013	0.0	2015	-1	-1	0	2.0	0	4
ANGEL S, 2011, PROG PLANN, V75, P53, DOI 10.1016/J.PROGRESS.2011.04.001	5.0	0.001442043545784203	0.0	2011	-1	-1	0	2.0	0	8
HUFNAGEL L, 2004, P NATL ACAD SCI USA, V101, P15124, DOI 10.1073/PNAS.0308344101	2.0	0.0	0.0	2004	-1	-1	0	8.0	0	15
ALVES LGA, 2014, PHYSICA A, V409, P175, DOI 10.1016/J.PHYSA.2014.04.046	5.0	0.002813999419754415	0.0	2014	-1	-1	0	4.0	0	5
MOSES ME, 2003, ECOL LETT, V6, P295, DOI 10.1046/J.1461-0248.2003.00446.X	2.0	9.565947751992996E-4	0.0	2003	-1	-1	0	7.0	0	16
STEFFEN W, 2015, ANTHROPOCENE REV, V2, P81, DOI 10.1177/2053019614564785	4.0	0.001171907537277627	0.0	2015	-1	-1	0	2.0	0	4
LEVINSON D, 2012, PLOS ONE, V7, P0, DOI 10.1371/JOURNAL.PONE.0029721	3.0	2.223627154526815E-4	0.0	2012	-1	-1	0	2.0	0	7
MCDONALD RI, 2008, BIOL CONSERV, V141, P1695, DOI 10.1016/J.BIOCON.2008.04.025	3.0	0.0	0.0	2008	-1	-1	0	7.0	0	11
HILLMAN T, 2010, ENVIRON SCI TECHNOL, V44, P1902, DOI 10.1021/ES9024194	6.0	0.0192085171130998	0.0	2010	-1	-1	0	4.0	0	9
BATTY M, 2012, EUR PHYS J-SPEC TOP, V214, P481, DOI 10.1140/EPJST/E2012-01703-3	3.0	0.0	0.0	2012	-1	-1	0	5.0	0	7
READES J, 2007, IEEE PERVAS COMPUT, V6, P30, DOI 10.1109/MPRV.2007.53	3.0	0.0014478123782024437	0.0	2007	-1	-1	0	8.0	0	12
KUBISZEWSKI I, 2013, ECOL ECON, V93, P57, DOI 10.1016/J.ECOLECON.2013.04.019	3.0	3.016935186919932E-4	0.0	2013	-1	-1	0	3.0	0	6
SETO KC, 2014, CLIMATE CHANGE 2014: MITIGATION OF CLIMATE CHANGE, V0, P923	3.0	0.0	0.0	2014	-1	-1	0	4.0	0	5
BEAUDRY C, 2009, RES POLICY, V38, P318, DOI 10.1016/J.RESPOL.2008.11.010	2.0	0.0	0.0	2009	-1	-1	0	4.0	0	10
SHORT MB, 2008, MATH MOD METH APPL S, V18, P1249, DOI 10.1142/S0218202508003029	2.0	3.942095802735542E-5	0.0	2008	-1	-1	0	5.0	0	11
FULLER RA, 2009, BIOL LETTERS, V5, P352, DOI 10.1098/RSBL.2009.0010	4.0	0.03937076186286202	0.0	2009	-1	-1	0	4.0	0	10
CARLINO GA, 2007, J URBAN ECON, V61, P389, DOI 10.1016/J.JUE.2006.08.003	3.0	0.0	0.0	2007	-1	-1	0	6.0	0	12
LOUF R, 2014, J R SOC INTERFACE, V11, P0, DOI 10.1098/RSIF.2014.0924	3.0	0.0012874714182931997	0.0	2014	-1	-1	0	3.0	0	5
BATTY M, 2006, METH SER, V0, P143	2.0	0.0	0.0	2006	-1	-1	0	6.0	0	13
FLORIDA R, 2008, WHOS YOUR CITY CREAT, V0, P0	3.0	0.0	0.0	2008	-1	-1	0	6.0	0	11
HUANG SL, 2006, RESOUR CONSERV RECY, V48, P166, DOI 10.1016/J.RESCONREC.2006.01.005	2.0	0.0	0.0	2006	-1	-1	0	6.0	0	13
KRINGS G, 2009, J STAT MECH-THEORY E, V0, P0, DOI 10.1088/1742-5468/2009/07/L07003	3.0	0.011394713690390858	0.0	2009	-1	-1	0	3.0	0	10
DERRIBLE S, 2009, TRANSP RES RECORD, V0, P17, DOI 10.3141/2112-03	2.0	0.001003271706064157	0.0	2009	-1	-1	0	3.0	0	10
BROWN JH, 2011, BIOSCIENCE, V61, P19, DOI 10.1525/BIO.2011.61.1.7	6.0	0.03548919287358038	0.0	2011	-1	-1	0	6.0	0	8
PALDINO S, 2015, EPJ DATA SCI, V4, P0, DOI 10.1140/EPJDS/S13688-015-0043-3	3.0	1.0035905941974538E-4	0.0	2015	-1	-1	0	1.0	0	4
SCHUETZE T, 2008, EVERY DROP COUNTS EN, V0, P0	2.0	7.168694384031879E-4	0.0	2008	-1	-1	0	3.0	0	11
STUMPF MPH, 2012, SCIENCE, V335, P665, DOI 10.1126/SCIENCE.1216142	3.0	0.0	0.0	2012	-1	-1	0	3.0	0	7
ZHANG QL, 2011, REMOTE SENS ENVIRON, V115, P2320, DOI 10.1016/J.RSE.2011.04.032	2.0	0.0	0.0	2011	-1	-1	0	2.0	0	8
BOCCALETTI S, 2006, PHYS REP, V424, P175, DOI 10.1016/J.PHYSREP.2005.10.009	5.0	0.0076406381182454524	0.0	2006	-1	-1	0	8.0	0	13
MURCIO R, 2015, PHYS REV E, V92, P0, DOI 10.1103/PHYSREVE.92.062130	3.0	7.08471843094196E-5	0.0	2015	-1	-1	0	2.0	0	4
BARTHELEMY M, 2008, PHYS REV LETT, V100, P0, DOI 10.1103/PHYSREVLETT.100.138702	2.0	8.702966746005521E-4	0.0	2008	-1	-1	0	5.0	0	11
HAMILTON MJ, 2009, P NATL ACAD SCI USA, V106, P12255, DOI 10.1073/PNAS.0905708106	3.0	0.0	0.0	2009	-1	-1	0	6.0	0	10
MCPHEARSON T, 2016, BIOSCIENCE, V66, P198, DOI 10.1093/BIOSCI/BIW002	3.0	0.0	0.0	2016	-1	-1	0	2.0	0	3
PORTUGALI J, 2012, COMPLEXITY THEORIES, V0, P0	5.0	0.002329599188802594	0.0	2012	-1	-1	0	5.0	0	7
GROFFMAN PM, 2005, J N AM BENTHOL SOC, V24, P613, DOI 10.1899/04-026.1	2.0	0.01104779907904493	0.0	2005	-1	-1	0	3.0	0	14
NEVENS F, 2013, J CLEAN PROD, V50, P111, DOI 10.1016/J.JCLEPRO.2012.12.001	3.0	0.0	0.0	2013	-1	-1	0	3.0	0	6
JORGENSON AK, 2010, ORGAN ENVIRON, V23, P189, DOI 10.1177/1086026610368376	2.0	0.0	0.0	2010	-1	-1	0	2.0	0	9
SATTERTHWAITE D, 2008, ENVIRON URBAN, V20, P539, DOI 10.1177/0956247808096127	3.0	0.0022949899850413067	0.0	2008	-1	-1	0	4.0	0	11
CHEN YG, 2008, CHAOS SOLITON FRACT, V35, P85, DOI 10.1016/J.CHAOS.2006.05.018	2.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
KUNG KS, 2014, PLOS ONE, V9, P0, DOI 10.1371/JOURNAL.PONE.0096180	6.0	1.0035905941974538E-4	0.0	2014	-1	-1	0	2.0	0	5
HENRICH J, 2016, P NATL ACAD SCI USA, V113, P0, DOI 10.1073/PNAS.1610005113	3.0	0.005402890872067787	0.0	2016	-1	-1	0	1.0	0	3
ONNELA JP, 2007, P NATL ACAD SCI USA, V104, P7332, DOI 10.1073/PNAS.0610245104	5.0	0.015694189962772286	0.0	2007	-1	-1	0	7.0	0	12
ROCHA LEC, 2010, P NATL ACAD SCI USA, V107, P5706, DOI 10.1073/PNAS.0914080107	2.0	0.0	0.0	2010	-1	-1	0	1.0	0	9
DIAMOND J, 2005, COLLAPSE SOC CHOOSE, V0, P0	2.0	0.0	0.0	2005	-1	-1	0	7.0	0	14
GURNEY KR, 2012, ENVIRON SCI TECHNOL, V46, P12194, DOI 10.1021/ES3011282	3.0	0.0017619205874192044	0.0	2012	-1	-1	0	4.0	0	7
SERRANO MA, 2009, PLOS ONE, V4, P0, DOI 10.1371/JOURNAL.PONE.0005372	3.0	0.0029345729130820885	0.0	2009	-1	-1	0	3.0	0	10
IGLESIAS JR, 2012, PHYSICA A, V391, P3942, DOI 10.1016/J.PHYSA.2012.03.001	2.0	0.010605861406051175	0.0	2012	-1	-1	0	1.0	0	7
CHEN YG, 2012, PHYSICA A, V391, P767, DOI 10.1016/J.PHYSA.2011.07.010	2.0	0.0	0.0	2012	-1	-1	0	0.0	0	7
SOVACOOL BK, 2010, ENERG POLICY, V38, P4856, DOI 10.1016/J.ENPOL.2009.10.001	7.0	0.06180422638842897	0.0	2010	-1	-1	0	2.0	0	9
BROWN JH, 2004, ECOLOGY, V85, P1771, DOI 10.1890/03-9000	3.0	0.020048079536167315	0.0	2004	-1	-1	0	8.0	0	15
GONZALEZ GA, 2005, ENVIRON POLIT, V14, P344, DOI 10.1080/0964410500087558	2.0	0.0	0.0	2005	-1	-1	0	7.0	0	14
LENZEN M, 2010, J IND ECOL, V14, P73, DOI 10.1111/J.1530-9290.2009.00190.X	2.0	0.0	0.0	2010	-1	-1	0	2.0	0	9
BLOOM DE, 2008, SCIENCE, V319, P772, DOI 10.1126/SCIENCE.1153057	3.0	0.031780632524659874	0.0	2008	-1	-1	0	8.0	0	11
CHEN YG, 2012, CHAOS SOLITON FRACT, V45, P115, DOI 10.1016/J.CHAOS.2011.10.007	3.0	0.0016022969543425837	0.0	2012	-1	-1	0	2.0	0	7
PORTUGALI J, 2011, UNDERST COMPLEX SYST, V0, P1, DOI 10.1007/978-3-642-19451-1	3.0	0.0	0.0	2011	-1	-1	0	3.0	0	8
MAKIDO Y, 2012, URBAN CLIM, V2, P55, DOI 10.1016/J.UCLIM.2012.10.006	4.0	0.0023040310260490013	0.0	2012	-1	-1	0	5.0	0	7
OLIVER-SOLA J, 2009, INT J LIFE CYCLE ASS, V14, P302, DOI 10.1007/S11367-009-0083-7	2.0	7.168694384031879E-4	0.0	2009	-1	-1	0	2.0	0	10
BAEK SK, 2011, NEW J PHYS, V13, P0, DOI 10.1088/1367-2630/13/4/043004	2.0	0.0	0.0	2011	-1	-1	0	1.0	0	8
CRISTELLI M, 2012, SCI REP-UK, V2, P0, DOI 10.1038/SREP00812	4.0	3.804694369968309E-4	0.0	2012	-1	-1	0	3.0	0	7
VESPIGNANI A, 2012, NAT PHYS, V8, P32	3.0	0.0	0.0	2012	-1	-1	0	3.0	0	7
JUNG WS, 2008, EPL-EUROPHYS LETT, V81, P0, DOI 10.1209/0295-5075/81/48005	2.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
ARBESMAN S, 2009, PHYS REV E, V79, P0, DOI 10.1103/PHYSREVE.79.016115	21.0	0.06401360880966447	0.0	2009	-1	-1	0	6.0	0	10
CLARK WC, 2007, P NATL ACAD SCI USA, V104, P1737, DOI 10.1073/PNAS.0611291104	2.0	7.168694384031879E-4	0.0	2007	-1	-1	0	4.0	0	12
SCHEFFER M, 2012, SCIENCE, V338, P344, DOI 10.1126/SCIENCE.1225244	5.0	0.0015711737685803811	0.0	2012	-1	-1	0	2.0	0	7
BASU B, 2009, INDIAN J PHYS, V83, P1575, DOI 10.1007/S12648-009-0141-9	3.0	0.008491549691751327	0.0	2009	-1	-1	0	3.0	0	10
YAKUBO K, 2014, PHYS REV E, V90, P0, DOI 10.1103/PHYSREVE.90.022803	3.0	0.021941487780480617	0.0	2014	-1	-1	0	3.0	0	5
KAUSHAL SS, 2005, P NATL ACAD SCI USA, V102, P13517, DOI 10.1073/PNAS.0506414102	2.0	0.0010246540608572893	0.0	2005	-1	-1	0	3.0	0	14
BROWN DG, 2008, GEOFORUM, V39, P805, DOI 10.1016/J.GEOFORUM.2007.02.010	2.0	0.003049898649643695	0.0	2008	-1	-1	0	1.0	0	11
HIDALGO CA, 2007, SCIENCE, V317, P482, DOI 10.1126/SCIENCE.1144581	3.0	0.011911586675052868	0.0	2007	-1	-1	0	7.0	0	12
ALTMANN EG, 2009, PLOS ONE, V4, P0, DOI 10.1371/JOURNAL.PONE.0007678	3.0	0.0029345729130820885	0.0	2009	-1	-1	0	3.0	0	10
LENORMAND M, 2014, PLOS ONE, V9, P0, DOI 10.1371/JOURNAL.PONE.0105184	3.0	7.331726873264888E-4	0.0	2014	-1	-1	0	1.0	0	5
BARENBLATT GI, 2003, SCALING, V0, P0	2.0	0.0038657320001019907	0.0	2003	-1	-1	0	7.0	0	16
ENGEL-YAN J, 2005, CAN J CIVIL ENG, V32, P45, DOI 10.1139/L04-116	2.0	3.496758309266568E-5	0.0	2005	-1	-1	0	6.0	0	14
PETERSEN AM, 2010, EPL-EUROPHYS LETT, V90, P0, DOI 10.1209/0295-5075/90/38006	3.0	0.0	0.0	2010	-1	-1	0	2.0	0	9
EWING R, 2008, HOUS POLICY DEBATE, V19, P1, DOI 10.1080/10511482.2008.9521624	3.0	0.0017619205874192044	0.0	2008	-1	-1	0	8.0	0	11
LABRA FA, 2007, P NATL ACAD SCI USA, V104, P10900, DOI 10.1073/PNAS.0704108104	2.0	1.1428106781642106E-4	0.0	2007	-1	-1	0	6.0	0	12
PETERSEN AM, 2012, SCI REP-UK, V2, P0, DOI 10.1038/SREP00943	3.0	0.0	0.0	2012	-1	-1	0	4.0	0	7
WANG LZ, 2001, ENVIRON MANAGE, V28, P255, DOI 10.1007/S0026702409	2.0	0.0	0.0	2001	-1	-1	0	8.0	0	18
MOSES ME, 2008, AM NAT, V171, P632, DOI 10.1086/587073	2.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
CALABRESE F, 2011, PLOS ONE, V6, P0, DOI 10.1371/JOURNAL.PONE.0020814	3.0	4.2487981111742623E-4	0.0	2011	-1	-1	0	4.0	0	8
ROSVALL M, 2008, P NATL ACAD SCI USA, V105, P1118, DOI 10.1073/PNAS.0706851105	3.0	0.002400519578146589	0.0	2008	-1	-1	0	7.0	0	11
SETO KC, 2011, PLOS ONE, V6, P0, DOI 10.1371/JOURNAL.PONE.0023777	9.0	0.01700768579100715	0.0	2011	-1	-1	0	4.0	0	8
VAN ECK N, 2010, SCIENTOMETRICS, V84, P523, DOI 10.1007/S11192-009-0146-3	3.0	0.0	0.0	2010	-1	-1	0	8.0	0	9
MYLLYLA S, 2005, GLOBAL ENVIRON CHANG, V15, P224, DOI 10.1016/J.GLOENVCHA.2005.01.001	2.0	3.496758309266568E-5	0.0	2005	-1	-1	0	6.0	0	14
GRIMM NB, 2008, FRONT ECOL ENVIRON, V6, P264, DOI 10.1890/070147	3.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
GROFFMAN PM, 2004, ECOSYSTEMS, V7, P393, DOI 10.1007/S10021-003-0039-X	2.0	0.01104779907904493	0.0	2004	-1	-1	0	4.0	0	15
TIZZONI M, 2014, PLOS COMPUT BIOL, V10, P0, DOI 10.1371/JOURNAL.PCBI.1003716	3.0	0.0014478123782024437	0.0	2014	-1	-1	0	1.0	0	5
ALBERTI M, 2004, URBAN ECOSYSTEMS, V7, P241, DOI 10.1023/B:UECO.0000044038.90173.C6	2.0	0.0	0.0	2004	-1	-1	0	8.0	0	15
MESOUDI A, 2011, PLOS ONE, V6, P0, DOI 10.1371/JOURNAL.PONE.0018239	4.0	0.0	0.0	2011	-1	-1	0	5.0	0	8
GABAIX X, 2009, ANNU REV ECON, V1, P255, DOI 10.1146/ANNUREV.ECONOMICS.050708.142940	2.0	0.0	0.0	2009	-1	-1	0	3.0	0	10
FORTUNATO S, 2010, PHYS REP, V486, P75, DOI 10.1016/J.PHYSREP.2009.11.002	4.0	0.01029609125735781	0.0	2010	-1	-1	0	5.0	0	9
SCHNEIDER A, 2008, URBAN STUD, V45, P659, DOI 10.1177/0042098007087340	3.0	0.0	0.0	2008	-1	-1	0	6.0	0	11
RATTI C, 2010, PLOS ONE, V5, P0, DOI 10.1371/JOURNAL.PONE.0014248	6.0	0.00459106530738533	0.0	2010	-1	-1	0	6.0	0	9
PARRISH DD, 2009, SCIENCE, V326, P674, DOI 10.1126/SCIENCE.1176064	2.0	0.0	0.0	2009	-1	-1	0	4.0	0	10
FLUSCHNIK T, 2016, ISPRS INT J GEO-INF, V5, P0, DOI 10.3390/IJGI5070110	4.0	5.513333063158785E-4	0.0	2016	-1	-1	0	2.0	0	3
SCELLATO S, 2006, EUR PHYS J B, V50, P221, DOI 10.1140/EPJB/E2006-00066-4	2.0	0.0	0.0	2006	-1	-1	0	2.0	0	13
COLIZZA V, 2006, P NATL ACAD SCI USA, V103, P2015, DOI 10.1073/PNAS.0510525103	2.0	0.0	0.0	2006	-1	-1	0	6.0	0	13
UN, 2007, URB POP DEV ENV, V0, P0	3.0	0.0015465471164339741	0.0	2007	-1	-1	0	4.0	0	12
LENZEN M, 2008, URBAN ENERGY TRANSITION: FROM FOSSIL FUELS TO RENEWABLE POWER, V0, P91, DOI 10.1016/B978-0-08-045341-5.00004-9	2.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
SOLE R, 2006, SELF ORG COMPLEX ECO, V0, P0	2.0	0.0	0.0	2006	-1	-1	0	3.0	0	13
GORDON MB, 2009, EUR PHYS J B, V68, P133, DOI 10.1140/EPJB/E2009-00066-X	2.0	0.010605861406051175	0.0	2009	-1	-1	0	4.0	0	10
KEIZER K, 2008, SCIENCE, V322, P1681, DOI 10.1126/SCIENCE.1161405	2.0	0.0064547807765782525	0.0	2008	-1	-1	0	5.0	0	11
KESTING A, 2008, TRANSPORT RES C-EMER, V16, P668, DOI 10.1016/J.TRC.2007.12.004	2.0	0.0	0.0	2008	-1	-1	0	5.0	0	11
BARRAT A, 2008, DYNAMICAL PROCESSES, V0, P0	2.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
FRAGKIAS M, 2009, COMPUT ENVIRON URBAN, V33, P189, DOI 10.1016/J.COMPENVURBSYS.2008.08.005	2.0	7.847766086693636E-4	0.0	2009	-1	-1	0	1.0	0	10
FU DF, 2005, P NATL ACAD SCI USA, V102, P18801, DOI 10.1073/PNAS.0509543102	2.0	3.092771659147855E-4	0.0	2005	-1	-1	0	8.0	0	14
PATAKI DE, 2011, FRONT ECOL ENVIRON, V9, P27, DOI 10.1890/090220	6.0	0.010659532298799977	0.0	2011	-1	-1	0	4.0	0	8
CAMINHA C, 2017, PLOS ONE, V12, P0, DOI 10.1371/JOURNAL.PONE.0171609	4.0	7.390506834241145E-4	0.0	2017	-1	-1	0	1.0	0	2
OVENDEN M, 2007, TRANSIT MAPS WORLD, V0, P0	2.0	0.0	0.0	2007	-1	-1	0	5.0	0	12
ORTMAN SG, 2014, PLOS ONE, V9, P0, DOI 10.1371/JOURNAL.PONE.0087902	18.0	0.01527949447434963	0.0	2014	-1	-1	0	2.0	0	5
ALBERTI M, 2008, ADV URBAN ECOLOGY IN, V0, P0	3.0	0.011023732086918625	0.0	2008	-1	-1	0	8.0	0	11
POWELL A, 2009, SCIENCE, V324, P1298, DOI 10.1126/SCIENCE.1170165	4.0	0.00138813101616588	0.0	2009	-1	-1	0	8.0	0	10
KUHNERT C, 2006, PHYSICA A, V363, P96, DOI 10.1016/J.PHYSA.2006.01.058	7.0	4.2707696991259634E-4	0.0	2006	-1	-1	0	7.0	0	13
KONAR M, 2011, WATER RESOUR RES, V47, P0, DOI 10.1029/2010WR010307	3.0	0.0	0.0	2011	-1	-1	0	7.0	0	8
SWILLING M, 2013, CITY LEVEL DECOUPLIN, V0, P0	3.0	0.005673389794192207	0.0	2013	-1	-1	0	4.0	0	6
GABAIX X, 2003, NATURE, V423, P267, DOI 10.1038/NATURE01624	2.0	0.0	0.0	2003	-1	-1	0	5.0	0	16
HANLEY QS, 2016, PLOS ONE, V11, P0, DOI 10.1371/JOURNAL.PONE.0149546	4.0	4.1701016502421363E-4	0.0	2016	-1	-1	0	2.0	0	3
COHEN B, 2004, WORLD DEV, V32, P23, DOI 10.1016/J.WORLDDEV.2003.04.008	2.0	7.34822919188306E-4	0.0	2004	-1	-1	0	6.0	0	15
GIESEN K, 2010, J URBAN ECON, V68, P129, DOI 10.1016/J.JUE.2010.03.007	6.0	0.01205355954126697	0.0	2010	-1	-1	0	7.0	0	9
CESARETTI R, 2016, PLOS ONE, V11, P0, DOI 10.1371/JOURNAL.PONE.0162678	3.0	6.949383567077243E-4	0.0	2016	-1	-1	0	2.0	0	3
VAN RAAN AFJ, 2016, PLOS ONE, V11, P0, DOI 10.1371/JOURNAL.PONE.0146775	3.0	0.0	0.0	2016	-1	-1	0	2.0	0	3
