term,id,span,weight,reciprocal,w,begin,end
creative-industries,10179,3,5.8115,7492.384615384615,5.8115,2013,2015,
cross-border,10284,4,3.1184,13914.42857142857,3.1184,2000,2003,
cross-correlation,10292,2,11.3017,2563.184210526316,11.3017,2014,2015,
cross-sectional,10310,7,3.6212,2375.6341463414633,3.6212,2005,2011,
daily-extreme,10570,3,3.3308,12175.125,3.3308,2007,2009,
data-assimilation,10651,3,3.33,10822.333333333334,3.33,2013,2015,
data-from,10699,2,3.3172,854.3947368421053,3.3172,2004,2005,
data-generation,10723,5,3.2969,16233.5,3.2969,2005,2009,
data-on,10762,2,3.3902,1453.7462686567164,3.3902,2001,2002,
ddf-relationships,10930,3,5.3644,8116.75,5.3644,2013,2015,
death-rates,10953,4,4.3664,9740.1,4.3664,2008,2011,
delivery-care,11223,2,8.777,6087.5625,8.777,2007,2008,
delivery-of,11233,2,3.6924,4870.05,3.6924,2007,2008,
demonstrate-that,11344,4,3.1036,2497.4615384615386,3.1036,2005,2008,
dental-prophylaxis,11473,5,3.2493,10822.333333333334,3.2493,2015,
dependence-of,11507,9,3.6025,3358.655172413793,3.6025,1999,2007,
description-of,11675,4,3.3161,5126.368421052632,3.3161,2004,2007,
designed-to,11740,6,3.6429,3896.04,3.6429,1999,2004,
developed-and,11917,5,3.0933,6087.5625,3.0933,2008,2012,
developing-countries,11966,11,8.9402,2375.6341463414633,8.9402,2001,2011,
developments-in,12070,5,3.1198,7492.384615384615,3.1198,2008,2012,
differences-were,12258,9,3.134,7492.384615384615,3.134,2002,2010,
different-from,12324,3,3.1877,5411.166666666667,3.1877,2003,2005,
discharge-and,12715,2,3.8288,8854.636363636364,3.8288,2009,2010,
displacement-height,12867,5,3.344,13914.42857142857,3.344,2004,2008,
access-to,1303,2,4.238,1316.2297297297298,4.238,2014,2015,
distribution-of,13035,4,4.3842,515.3492063492064,4.3842,1998,2001,
distributions-in,13103,3,4.7222,9740.1,4.7222,2009,2011,
distributions-of,13106,6,7.1738,2213.659090909091,7.1738,2007,2012,
dmsp-ols,13246,2,5.3489,10822.333333333334,5.3489,2001,2002,
dmsp-ols-nighttime,13247,2,4.6994,13914.42857142857,4.6994,2001,2002,
doi-10,13268,2,81.1859,556.5771428571428,81.1859,2013,2014,
drainage-area,13387,4,5.8357,4870.05,5.8357,2006,2009,
eastern-united,13756,2,4.5903,10822.333333333334,4.5903,2010,2011,
eastern-united-states,13757,2,4.5903,10822.333333333334,4.5903,2010,2011,
ec-and,13766,7,3.8319,13914.42857142857,3.8319,2002,2008,
ecol-appl,13783,2,3.8534,13914.42857142857,3.8534,2013,2014,
economic-and,13855,2,4.2235,3141.967741935484,4.2235,2000,2001,
efforts-to,14302,5,3.5629,4234.826086956522,3.5629,2011,2015,
emissions-from,14536,2,4.7671,2435.025,4.7671,2010,2011,
activated-sludge,1500,2,4.2613,10822.333333333334,4.2613,2013,2014,
environmental-characteristics,15006,2,3.811,16233.5,3.811,2007,2008,
environmental-factors,15028,3,3.17,5729.470588235294,3.17,2011,2013,
environmental-policy,15054,3,3.5917,9740.1,3.5917,2012,2014,
environmental-variables,15079,2,3.5858,3896.04,3.5858,2010,2011,
equations-for,15153,4,3.2732,6087.5625,3.2732,2016,
ethnicity-and,15431,3,3.893,13914.42857142857,3.893,2001,2003,
evolution-of,15649,2,4.1918,1432.3676470588234,4.1918,2008,2009,
exotic-species,15869,9,3.8272,7492.384615384615,3.8272,2002,2010,
explained-by,16033,2,3.1131,3246.7,3.1131,2008,2009,
exponential-functions,16170,5,3.5996,8854.636363636364,3.5996,2008,2012,
face-to,16375,3,4.8899,6957.214285714285,4.8899,2012,2014,
face-to-face,16376,3,4.8899,6957.214285714285,4.8899,2012,2014,
facility-based,16414,2,4.2429,6957.214285714285,4.2429,2009,2010,
factor-was,16471,3,3.2985,19480.2,3.2985,2000,2002,
factors-affecting,16473,2,3.6371,7492.384615384615,3.6371,2005,2006,
family-planning,16596,5,3.3939,5126.368421052632,3.3939,2015,
address-the,1664,7,4.0168,4870.05,4.0168,2002,2008,
fish-assemblage,17098,3,3.9286,3043.78125,3.9286,2011,2013,
fish-assemblage-structure,17099,12,3.6678,5126.368421052632,3.6678,2000,2011,
fish-assemblages,17102,3,5.2855,4870.05,5.2855,2009,2011,
follow-up,17454,5,5.0895,2497.4615384615386,5.0895,2006,2010,
food-systems,17525,3,3.2276,10822.333333333334,3.2276,2011,2013,
forest-cover,17594,4,3.735,10822.333333333334,3.735,2006,2009,
forest-patches,17625,3,3.6087,13914.42857142857,3.6087,2006,2008,
form-of,17697,3,3.9306,2072.3617021276596,3.9306,2006,2008,
formation-of,17728,9,3.3325,5411.166666666667,3.3325,2001,2009,
gas-emissions,18399,2,4.4913,4234.826086956522,4.4913,2010,2011,
geographic-space,18636,2,5.9184,6957.214285714285,5.9184,2012,2013,
global-cities,18813,6,7.9095,5729.470588235294,7.9095,1998,2003,
global-cities-are,18818,6,3.77,16233.5,3.77,1998,2003,
global-scale,18877,2,4.5987,4427.318181818182,4.5987,2006,2007,
golf-courses,18932,2,6.401,8854.636363636364,6.401,2011,2012,
greenhouse-gas,19253,2,6.7905,2864.735294117647,6.7905,2010,2011,
greenhouse-gas-emissions,19254,2,4.5974,4427.318181818182,4.5974,2010,2011,
ground-level,19313,2,7.4726,4058.375,7.4726,2012,2013,
groups-in,19396,6,3.1651,5729.470588235294,3.1651,2007,2012,
habitat-variables,19604,2,5.4278,9740.1,5.4278,2008,2009,
african-american,1963,3,3.531,6493.4,3.531,2011,2013,
head-shape,19714,2,3.3507,13914.42857142857,3.3507,2015,2016,
head-tail,19718,4,4.7321,8116.75,4.7321,2012,2015,
head-tail-breaks,19719,3,4.9173,8854.636363636364,4.9173,2013,2015,
health-care,19742,2,6.4756,1391.442857142857,6.4756,2015,2016,
health-care-in,19748,2,3.3507,13914.42857142857,3.3507,2015,2016,
health-centres,19762,3,4.9745,8116.75,4.9745,2002,2004,
health-interventions,19809,8,4.8265,4234.826086956522,4.8265,2005,2012,
health-services,19866,2,5.928,2632.4594594594596,5.928,2015,2016,
1016-j,200,2,21.3317,2435.025,21.3317,2013,2014,
heterogeneity-in,20078,4,4.7515,6087.5625,4.7515,2000,2003,
hierarchical-structure,20131,4,3.3334,5126.368421052632,3.3334,2012,2015,
higher-at,20329,4,3.3417,9740.1,3.3417,2007,2010,
hiv-aids,20526,3,5.5456,3043.78125,5.5456,2009,2011,
hiv-and,20533,2,4.3423,3896.04,4.3423,2015,2016,
hiv-care,20547,4,4.6841,8854.636363636364,4.6841,2009,2012,
hiv-infected,20567,5,6.1857,4234.826086956522,6.1857,2009,2013,
hiv-infected-children,20570,7,4.4336,9740.1,4.4336,2005,2011,
hiv-positive,20587,4,5.8646,3358.655172413793,5.8646,2010,2013,
hiv-prevalence,20597,2,4.4839,4427.318181818182,4.4839,2011,2012,
1016-s0269,206,2,3.8534,13914.42857142857,3.8534,2013,2014,
hiv-testing,20616,2,4.4437,5126.368421052632,4.4437,2007,2008,
home-and,20644,2,3.5077,13914.42857142857,3.5077,2009,2010,
home-based,20645,10,3.7586,7492.384615384615,3.7586,2002,2011,
home-ranges,20661,3,4.2849,9740.1,4.2849,2012,2014,
hong-kong,20681,3,5.696,2705.5833333333335,5.696,2013,2015,
1016-s0269-7491,207,2,3.8534,13914.42857142857,3.8534,2013,2014,
human-mobility,20923,3,5.8967,1352.7916666666667,5.8967,2010,2012,
identification-of,21125,5,4.1263,2864.735294117647,4.1263,2005,2009,
identified-as,21139,11,3.157,5729.470588235294,3.157,1998,2008,
agricultural-and,2119,2,4.5725,8116.75,4.5725,2008,2009,
identify-the,21194,4,3.2948,3896.04,3.2948,2016,
idf-curves,21210,4,6.0878,4234.826086956522,6.0878,2016,
agricultural-fields,2128,3,3.2491,16233.5,3.2491,2009,2011,
impact-on,21363,2,3.5996,1909.8235294117646,3.5996,2010,2011,
impervious-surface,21425,4,6.6538,4870.05,6.6538,2008,2011,
importance-of,21547,2,5.72,825.4322033898305,5.72,2012,2013,
individual-mobility,22216,2,3.8769,12175.125,3.8769,2012,2013,
1111-j,223,2,7.1567,7492.384615384615,7.1567,2013,2014,
inequalities-in,22309,5,7.2371,4427.318181818182,7.2371,2005,2009,
infected-children,22356,7,4.877,8854.636363636364,4.877,2005,2011,
influence-of,22414,4,3.8133,1232.9240506329113,3.8133,2003,2006,
influence-the,22434,4,5.6033,4058.375,5.6033,2016,
informal-settlements,22488,2,6.3577,6493.4,6.3577,2014,2015,
insecticide-treated,22740,7,4.1438,9740.1,4.1438,2004,2010,
air-quality-and-climate,2275,6,3.3224,12175.125,3.3224,2005,2010,
intensity-in,22922,5,4.0625,10822.333333333334,4.0625,2002,2006,
internal-consistency,23064,3,4.2673,7492.384615384615,4.2673,2009,2011,
intra-urban,23232,5,4.5329,6087.5625,4.5329,2012,2016,
introduced-species,23257,2,3.4147,12175.125,3.4147,2009,2010,
allometric-equations,2378,2,7.422,6087.5625,7.422,2013,2014,
l-1,23843,4,5.3601,5126.368421052632,5.3601,2016,
land-cover,23931,4,7.9369,695.7214285714285,7.9369,2002,2005,
land-use,23991,2,14.3009,455.1448598130841,14.3009,2005,2006,
landscape-ecology,24070,2,4.25,6493.4,4.25,2005,2006,
landscape-metrics,24079,2,8.8448,1739.3035714285713,8.8448,2005,2006,
allometry-and,2419,3,3.2276,10822.333333333334,3.2276,2011,2013,
large-ones,24191,4,5.1264,7492.384615384615,5.1264,2012,2015,
larger-than,24271,9,5.144,4427.318181818182,5.144,2002,2010,
latex-paint,24353,2,5.9289,10822.333333333334,5.9289,2003,2004,
law-distributions,24389,2,4.1011,6087.5625,4.1011,2014,2015,
length-of,24674,2,3.402,4427.318181818182,3.402,2003,2004,
length-scale,24678,4,3.2832,6087.5625,3.2832,2010,2013,
level-of,24742,2,3.4675,766.9370078740158,3.4675,2001,2002,
alpha-0,2477,2,5.0511,8116.75,5.0511,2015,2016,
lichen-communities,24830,5,5.3513,8854.636363636364,5.3513,2005,2009,
likelihood-field,24921,2,3.3507,13914.42857142857,3.3507,2015,2016,
living-conditions,25175,4,3.5592,6087.5625,3.5592,2006,2009,
living-in,25179,3,3.7979,2497.4615384615386,3.7979,2005,2007,
local-food,25272,3,3.7403,9740.1,3.7403,2011,2013,
long-range,25519,7,3.282,2319.0714285714284,3.282,2010,2016,
ammonia-deposition,2571,2,3.9181,16233.5,3.9181,2005,2006,
m-3,25716,4,3.975,3478.6071428571427,3.975,2004,2007,
macroinvertebrate-assemblages,25768,8,3.5145,10822.333333333334,3.5145,2003,2010,
male-circumcision,26065,4,4.5282,3141.967741935484,4.5282,2016,
management-of,26130,5,5.8435,1909.8235294117646,5.8435,2005,2009,
analyses-of,2617,3,4.419,2213.659090909091,4.419,2009,2011,
mass-concentration,26370,5,3.8184,13914.42857142857,3.8184,1998,2002,
mean-field,26555,4,3.2756,10822.333333333334,3.2756,2005,2008,
measured-in,26664,4,3.9521,6087.5625,3.9521,2001,2004,
measurements-in,26720,13,3.3051,10822.333333333334,3.3051,1999,2011,
metrics-were,27228,6,3.6332,9740.1,3.6332,2005,2010,
metropolitan-area,27246,5,5.0818,2632.4594594594596,5.0818,2005,2009,
microbial-communities,27316,2,4.4326,9740.1,4.4326,2011,2012,
minima-in,27433,5,3.2225,19480.2,3.2225,1998,2002,
mixing-and,27509,4,4.0669,12175.125,4.0669,2005,2008,
mobility-patterns,27602,2,5.9754,3141.967741935484,5.9754,2013,2014,
model-is,27701,4,3.2572,1159.5357142857142,3.2572,1998,2001,
morphology-of,28169,5,4.4802,6493.4,4.4802,2007,2011,
morphology-of-the,28170,4,4.0476,12175.125,4.0476,2008,2011,
mortality-rates,28198,4,3.9107,12175.125,3.9107,2009,2012,
mother-to,28208,5,4.4532,5126.368421052632,4.4532,2008,2012,
mother-to-child,28209,5,4.4532,5126.368421052632,4.4532,2008,2012,
mother-to-child-transmission,28211,2,3.3666,6957.214285714285,3.3666,2010,2011,
mu-g,28303,2,4.9802,3246.7,4.9802,2011,2012,
multi-fractal,28330,2,3.8944,13914.42857142857,3.8944,2004,2005,
multivariate-statistical,28531,12,3.4066,12175.125,3.4066,1999,2010,
national-states,28673,5,5.0248,10822.333333333334,5.0248,1999,2003,
natural-and,28718,2,3.7485,3141.967741935484,3.7485,2015,2016,
natural-and-anthropogenic,28720,2,3.1859,8854.636363636364,3.1859,2015,2016,
network-effects,29011,2,3.0974,16233.5,3.0974,2014,2015,
networks-of,29106,7,6.9711,4234.826086956522,6.9711,2001,2007,
non-agricultural,29441,5,4.2457,12175.125,4.2457,2001,2005,
non-linear,29477,2,3.7641,5411.166666666667,3.7641,2015,2016,
nonmetric-multidimensional,29576,7,3.6212,2375.6341463414633,3.6212,2005,2011,
nonmetric-multidimensional-scaling,29577,7,3.6212,2375.6341463414633,3.6212,2005,2011,
number-of-homicides,29740,2,5.5909,8854.636363636364,5.5909,2012,2013,
o-3,29829,2,5.8307,1521.890625,5.8307,2009,2010,
antiretroviral-treatment,3004,4,7.9086,5729.470588235294,7.9086,2008,2011,
obtained-in,30048,4,3.5822,7492.384615384615,3.5822,2009,2012,
ols-nighttime,30218,2,4.6994,13914.42857142857,4.6994,2001,2002,
appears-to,3041,9,3.187,4427.318181818182,3.187,1999,2007,
oral-health,30426,2,4.1985,5126.368421052632,4.1985,2003,2004,
organic-matter,30550,4,3.8767,5729.470588235294,3.8767,2005,2008,
origin-of,30595,10,3.2481,7492.384615384615,3.2481,2004,2013,
ownership-and,30743,2,3.5077,13914.42857142857,3.5077,2009,2010,
ozone-time,30783,2,3.4276,16233.5,3.4276,2012,2013,
ozone-time-series,30784,2,3.4276,16233.5,3.4276,2012,2013,
paper-argues,30879,11,3.3811,7492.384615384615,3.3811,1999,2009,
participation-in,31202,5,4.02,4638.142857142857,4.02,2006,2010,
participation-in-the,31205,5,3.4788,12175.125,3.4788,2006,2010,
perceptions-of,31761,5,3.5534,3896.04,3.5534,2010,2014,
phenotypic-variation,32077,2,3.8294,12175.125,3.8294,2015,2016,
physical-activity,32109,4,8.1477,3896.04,8.1477,2016,
pilot-project,32203,3,3.6469,10822.333333333334,3.6469,2014,2016,
planning-and,32297,2,3.5714,1739.3035714285713,3.5714,2012,2013,
plant-communities,32363,5,3.2294,8854.636363636364,3.2294,2009,2013,
plant-species,32374,2,3.3413,5126.368421052632,3.3413,2006,2007,
plays-a,32447,2,3.548,6957.214285714285,3.548,2013,2014,
political-economy,32639,3,4.3203,6957.214285714285,4.3203,2001,2003,
politics-of,32656,8,7.0308,4234.826086956522,7.0308,1999,2006,
politics-of-scale,32660,7,3.3938,12175.125,3.3938,1999,2005,
population-density,32834,4,5.9751,1475.7727272727273,5.9751,2007,2010,
power-law-distributions,33205,2,4.1011,6087.5625,4.1011,2014,2015,
power-of,33242,2,4.7376,5411.166666666667,4.7376,2012,2013,
pregnant-women,33503,5,5.408,3896.04,5.408,2004,2008,
presence-of,33549,3,6.5915,1173.5060240963855,6.5915,2005,2007,
prevention-of,33746,7,4.4428,4638.142857142857,4.4428,2008,2014,
